ticker	close_price	day_1	day_5	df_size	skew_1	skew_60	skew_120	cutoff_1	cutoff_60	cutoff_120	created_date	longName	industry	sector	url
LIN	329.6300048828125	328.8558085833736	328.9153021665391	1643.0	0.316476517806376	-0.786366370609124	-0.2699453278980427	25.0	7.000000000000001	5.5	20220528.0	Linde plc	Specialty Chemicals	Basic Materials	https://www.linde.com
CCL	13.970000267028809	13.970000267028809	13.970000267028809	1643.0	-0.1412813346133668	-0.6038347853161021	-0.6357980408485885	21.666666666666668	0.0	0.0	20220528.0	Carnival Corporation & plc	Travel Services	Consumer Cyclical	https://www.carnivalcorp.com
CUK	12.9399995803833	12.9399995803833	12.9399995803833	1643.0	-0.1584943385552618	-0.7447628282787642	-0.4752349702575988	20.0	0.0	0.0	20220528.0	Carnival Corporation & plc	Leisure	Consumer Cyclical	https://www.carnivalcorp.com
CUKPF	11.039999961853027	11.04004235485738	11.04004235485738	1643.0	-2.628290493282549	-1.028327394791981	-0.4737905986160099	10.0	0.0	0.0	20220528.0	Carnival Corporation & plc	Leisure	Consumer Cyclical	https://www.carnivalcorp.com
STE	235.0	234.92752018837626	235.15102092319228	1643.0	-0.9674243799258768	-0.0708604127004626	-0.3521457158482043	11.666666666666666	1.5	4.0	20220528.0	STERIS plc	Medical Devices	Healthcare	https://www.steris.com
MMM	149.50999450683594	149.50999450683594	149.50999450683594	1643.0	-0.0162092556094048	-0.2076766147839575	0.8531003455379388	6.666666666666667	18.5	19.0	20220528.0	3M Company	Conglomerates	Industrials	https://www.3m.com
AXP	169.60000610351562	169.60000610351562	169.60000610351562	1643.0	-0.2917001554072791	-0.7286342825365147	-0.4158259978323216	20.0	4.5	0.0	20220528.0	American Express Company	Credit Services	Financial Services	https://www.americanexpress.com
AAPL	149.63999938964844	149.23548335284676	149.23548335284676	1643.0	-0.2041639398679644	-0.1987453119647293	-1.2860372856634517	20.0	1.0	2.0	20220528.0	Apple Inc.	Consumer Electronics	Technology	https://www.apple.com
BA	132.22999572753906	132.84251046545631	133.3615257983881	1643.0	-0.4640043541860368	-1.9993964753212004	-1.6776353924913463	13.333333333333334	7.000000000000001	0.5	20220528.0	The Boeing Company	Aerospace & Defense	Industrials	https://www.boeing.com
CAT	217.13999938964844	e	r	1643.0	-0.1967122229633229	0.050341506938808	0.0925898851359777	11.666666666666666	0.0	0.0	20220528.0	Caterpillar Inc.	Farm & Heavy Construction Machinery	Industrials	https://www.caterpillar.com
CVX	178.27999877929688	178.2642756648609	178.37996199438373	1643.0	-0.8342080491336595	-0.6351579596467548	-0.1017877241456047	11.666666666666666	16.5	28.5	20220528.0	Chevron Corporation	Oil & Gas Integrated	Energy	https://www.chevron.com
CSCO	45.619998931884766	45.4771250458544	45.50808945680435	1643.0	-2.5898224970418937	-0.4791824840458141	-0.4800510612078646	15.0	6.0	4.0	20220528.0	Cisco Systems, Inc.	Communication Equipment	Technology	https://www.cisco.com
KO	64.68000030517578	64.67611165784245	64.68513205160014	1643.0	-1.9411601065049615	0.0786710042384192	-0.1250318065995089	10.0	2.0	1.5	20220528.0	The Coca-Cola Company	Beverages—Non-Alcoholic	Consumer Defensive	https://www.coca-colacompany.com
DD	68.36000061035156	68.36000061035156	68.36000061035156	1643.0	-0.3679726568024916	0.1289854506124205	-0.3080177698889862	15.0	0.0	0.0	20220528.0	DuPont de Nemours, Inc.	Specialty Chemicals	Basic Materials	https://www.dupont.com
XOM	97.58999633789062	97.58999633789062	97.58999633789062	1643.0	-1.1788925351068176	-0.7211821016474007	-0.0680787386561976	18.33333333333333	5.0	9.5	20220528.0	Exxon Mobil Corporation	Oil & Gas Integrated	Energy	https://corporate.exxonmobil.com
GS-PK	26.329999923706055	26.384265120220064	26.589246178858627	1643.0	0.58962372310314	-0.09540221625452	0.3275260351151809	11.666666666666666	8.0	22.0	20220528.0	The Goldman Sachs Group, Inc.	Capital Markets	Financial Services	https://www.goldmansachs.com
GS	328.5799865722656	328.5799865722656	328.5799865722656	1643.0	-0.0251794573818834	-0.1415768358620559	-0.2142154423657888	10.0	1.0	5.0	20220528.0	The Goldman Sachs Group, Inc.	Capital Markets	Financial Services	https://www.goldmansachs.com
HD	308.4599914550781	309.0834182272632	308.2132807590486	1643.0	-0.5339590860675439	-0.3415208071922286	-0.971129350167391	23.33333333333333	36.0	20.5	20220528.0	The Home Depot, Inc.	Home Improvement Retail	Consumer Cyclical	https://www.homedepot.com
IBM	139.27000427246094	139.49406198258623	139.12536832861494	1643.0	0.6874046979389746	0.0730954463834669	-0.2017036420365954	6.666666666666667	0.0	2.5	20220528.0	International Business Machines Corporation	Information Technology Services	Technology	https://www.ibm.com
INTC	44.54999923706055	44.54211557473662	44.655844559522286	1643.0	0.0049396803367959	0.2261951286874492	0.4546381333923294	11.666666666666666	1.0	3.5000000000000004	20220528.0	Intel Corporation	Semiconductors	Technology	https://www.intel.com
JNJ	181.08999633789062	180.92792387598428	180.68718269754817	1643.0	0.3354434840355197	-0.6786482924491696	0.2119903835325302	8.333333333333332	5.0	0.5	20220528.0	Johnson & Johnson	Drug Manufacturers—General	Healthcare	https://www.jnj.com
JPM	131.27000427246094	131.8152121646146	131.59008748315023	1643.0	0.5615333747613962	-0.3054056412555275	-0.8379432211644513	16.666666666666664	14.499999999999998	16.5	20220528.0	JPMorgan Chase & Co.	Banks—Diversified	Financial Services	https://www.jpmorganchase.com
